Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"First time I didn't like Babita, when she was taunting Sunita(vegetable seller). At least think of how much these kinda people in real word spend on their makeups, food in expensive restaurants, massages, and whatnot, mannnn!!!!",Ugzu8rvV4_vI19JwpVV4AaABAg,2,31,"First time I didn't like Babita, when she was taunting Sunita(vegetable seller). At least think of how much these kinda people in real word spend on their makeups, food in expensive restaurants, massages, and whatnot, mannnn!!!!",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,badly written episode. No one can forget to inform increase in price for straight 30 days to its daily customers.,UgwM8gBdxtqEOG1llIl4AaABAg,0,4,badly written episode. No one can forget to inform increase in price for straight 30 days to its daily customers.,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I like this episode 😘😘,UgyXd83eq7i6CFhZPSt4AaABAg,0,1,I like this episode ,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Love from nepal,Ugyr7qdUdYyDV2lcKh14AaABAg,0,3,Love from nepal,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"Abdul se society ki kaam bhi karwate hoon,  fir bhi 5rs ke liye kitne drama, this story line is the worst that I have seen so far, tarak mehta is loved by millions, they should show equality amongst people in society. So what abdul is a shopkeeper,  he contributes to the society, I feel sorry for him, this show is getting worst by the day. Gokuldham wale holiday ke liye Hong Kong,  Singapore jate hain, aur aabhi 5rs k liye itna drama",UgzmBjMIImrWrt-Z27F4AaABAg,0,0,"Abdul se society ki kaam bhi karwate hoon,  fir bhi 5rs ke liye kitne drama, this story line is the worst that I have seen so far, tarak mehta is loved by millions, they should show equality amongst people in society. So what abdul is a shopkeeper,  he contributes to the society, I feel sorry for him, this show is getting worst by the day. Gokuldham wale holiday ke liye Hong Kong,  Singapore jate hain, aur aabhi 5rs k liye itna drama",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"now
 i have not seen the farmer a rich man while hotels owners are richer. Not good. What common man wants is to reduce the unwanted.. Not daily needs",Ugy-MAflAyAtQ7Xpe8J4AaABAg,1,1,"now
 i have not seen the farmer a rich man while hotels owners are richer. Not good. What common man wants is to reduce the unwanted.. Not daily needs",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"Alan is, op ki cu by von k bolbo",UgzKWxColPqnwML57s54AaABAg,0,0,"Alan is, op ki cu by von k bolbo",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,10:15 is a very  funny,UgwxvRxpZRKjUkTIZoZ4AaABAg,0,8,10:15 is a very  funny,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Thank god daya is not coming back to show over acting daya...,UgzupCe3t39RcG1le-d4AaABAg,0,1,Thank god daya is not coming back to show over acting daya...,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I love this show,UgyTtHAotT2OiG462VR4AaABAg,0,1,I love this show,en
